a,b,c
30.967,2.3547,9.1792
30.955,2.3355,9.1892
30.944,2.3509,9.1992
30.925,2.3474,9.2092
30.925,2.369,9.2192
30.875,2.2856,9.2292
30.899,2.3429,9.2392
30.875,2.3022,9.2492
30.862,2.2886,9.2593
30.834,2.2649,9.2693
30.857,2.2805,9.2793
30.849,2.2791,9.2893
30.852,2.306,9.2993
30.862,2.3083,9.3093
30.856,2.3131,9.3193
30.868,2.2755,9.3293
30.858,2.295,9.3393
30.834,2.2406,9.3493
30.885,2.3059,9.3594
30.874,2.2783,9.3694
30.88,2.2895,9.3794
30.886,2.2849,9.3894
30.896,2.3026,9.3994
30.94,2.3185,9.4094
30.939,2.3189,9.4194
30.95,2.3293,9.4294
30.967,2.337,9.4394
30.975,2.3129,9.4494
30.987,2.3329,9.4595
31.001,2.3187,9.4695
31.021,2.3512,9.4795
31.027,2.3562,9.4895
31.028,2.3412,9.4995
31.021,2.3517,9.5095
31.03,2.3578,9.5195
31.06,2.3864,9.5295
31.039,2.3583,9.5395
31.069,2.4031,9.5495
31.059,2.4167,9.5596
31.071,2.4512,9.5696
31.039,2.4266,9.5796
31.039,2.402,9.5896
31.041,2.3972,9.5996
31.051,2.4174,9.6096
30.966,2.3317,9.6196
31.004,2.3806,9.6296
30.966,2.3607,9.6396
30.972,2.3861,9.6496
30.947,2.3604,9.6597
30.94,2.3718,9.6697
30.924,2.3559,9.6797
30.912,2.349,9.6897
30.936,2.3889,9.6997
30.906,2.371,9.7097
30.905,2.381,9.7197
30.896,2.3647,9.7297
30.846,2.316,9.7397
30.837,2.3022,9.7497
30.831,2.3007,9.7598
30.82,2.3091,9.7698
30.852,2.3292,9.7798
30.831,2.2792,9.7898
30.859,2.29,9.7998
30.866,2.2841,9.8098
30.851,2.2683,9.8198
30.835,2.2311,9.8298
30.823,2.2303,9.8398
30.821,2.2016,9.8498
30.842,2.2321,9.8599
30.82,2.2199,9.8699
30.806,2.1778,9.8799
30.899,2.2844,9.8899
30.925,2.2897,9.8999
30.912,2.269,9.9099
30.86,2.2216,9.9199
30.871,2.2126,9.9299
30.897,2.2511,9.9399
30.924,2.2692,9.9499
30.971,2.3036,9.96
30.949,2.282,9.97
30.922,2.2677,9.98
30.941,2.2803,9.99
30.946,2.2777,10
